| วท 6000105 | กฎหมายและจริยธรรมด้านเทคโนโลยีดิจิทัล | Law and Ethics in Digital Technology | ผลกระทบทางสังคมและวัฒนธรรมเนื่องจากเทคโนโลยีสารสนเทศและสังคมออนไลน์ ความหลากหลาย โลกาภิวัฒน์ ช่องว่างดิจิทัล การคำนึงถึงข้อบกพร่องทางการรับรู้ ข้อคำนึงทางเศรษฐศาสตร์ ประเด็นทางกฎหมายที่เกี่ยวข้องกับพระราชบัญญัติคุ้มครองข้อมูลส่วนบุคคลและกฎหมายที่เกี่ยวข้องทั้งไทยและสากล นโยบายสิทธิความเป็นส่วนตัว อาชญากรรมจากการใช้เทคโนโลยี ภัยคุกคามของระบบสารสนเทศ และการป้องกันอาชญากรรมในโลกไซเบอร์ การจัดการทรัพย์สินทางปัญญา ประเด็นทางวิชาชีพและจริยธรรม องค์กรวิชาชีพ จริยธรรมและความประพฤติสำหรับนักคอมพิวเตอร์ | 3(3-0-6) |
| วท 6001414 | เทคโนโลยีผสมความจริงเสมือน | Virtual Reality | การนำเทคโนโลยีไปประยุกต์ใช้กับงานด้านต่าง ๆ ในปัจจุบัน เปรียบเทียบคุณลักษณะและข้อจำกัดของอุปกรณ์แต่ละชนิด ฮาร์ดแวร์และซอฟต์แวร์ที่จำเป็นในการพัฒนาสื่อความจริงเสริมและสื่อความจริงเสมือน และการเรียนรู้การใช้งานซอฟต์แวร์เพื่อการสร้างสรรค์ผลงานความจริงเสริมและความจริงเสมือน | 3(2-2-5) |
| วท 6004106 | เทคโนโลยีด้านมัลติมีเดีย | Multimedia Technology | ความหมายของเทคโนโลยีมัลติมีเดีย วิวัฒนาการของเทคโนโลยีมัลติมีเดีย ประโยชน์ของเทคโนโลยีมัลติมีเดีย องค์ประกอบของเทคโนโลยีมัลติมีเดีย ตัวอักษร ภาพนิ่ง แอนิเมชัน เสียง วิดีโอ ผลกระทบที่เกิดต่อสังคม การประยุกต์ใช้เทคโนโลยีมัลติมีเดียในงานด้านต่าง ๆ | 3(2-2-5) |
| วท 6004107 | การพัฒนาโมเดลริกกิ้ง 3 มิติ | 3D Rigging Model | หลักการในการสร้างและควบคุมกระดูกเสมือนสำหรับงานแอนิเมชัน การควบคุมกระดูกเสมือนแบบพื้นฐาน การควบคุมกระดูกเสมือนโดยใช้โปรแกรม การจัดการตัวควบคุมกระดูกเสมือน การสร้างกระดูกเสมือน จลนศาสตร์แบบไปข้างหน้าและจลนศาสตร์แบบผกผัน การสร้างกระดูกมนุษย์ สัตว์ และวัตถุที่สามารถขยับได้ และฝึกปฏิบัติควบคุมกระดูกสำหรับงานแอนิเมชัน | 3(2-2-5) |
| วท 6004108 | การวาดเส้นพื้นฐานสำหรับงานมัลติมีเดีย | Introduction to Drawing for Multimedia | แนวคิด หลักการวิธีการวาดเส้น การวิเคราะห์โครงสร้างรูปทรงของวัตถุ แสงเงา ระยะใกล้ไกล รวมถึงน้ำหนัก การพัฒนาไปสู่รูปร่างที่มีความสลับซับซ้อนมากขึ้น กายวิภาคของคนสัตว์ ทิวทัศน์ อาคาร และการประยุกต์ใช้ทฤษฎีสู่การปฏิบัติการวาดเส้นสำหรับงานมัลติมีเดีย | 3(2-2-5) |
| วท 6004109 | การเขียนโปรแกรมสำหรับมัลติมีเดีย | Programming for Multimedia | โครงสร้างและหลักการเขียนโปรแกรม การประยุกต์ใช้ในการเขียนโปรแกรมมัลติมีเดีย โดยผสมด้วยภาพนิ่ง ภาพเคลื่อนไหว วีดีโอ เสียง และตัวอักษรในการสร้างสื่อประสมเชิงโต้ตอบ และฝึกปฏิบัติการเขียนโปรแกรมมัลติมีเดีย | 3(2-2-5) |
| วท 6004110 | การพัฒนาโมชันแคปเจอร์สำหรับงานมัลติมีเดีย | Motion Capture for Multimedia | หลักการของโมชันแคปเจอร์ การใช้อุปกรณ์โมชันแคปเจอร์ การประยุกต์การใช้งานโมชันแคปเจอร์ กระดูกโมชันแคปเจอร์ โมชันแคปเจอร์แบบมาร์กเกอร์และมาร์กเกอร์เลส ประสิทธิภาพของโมชันแคปเจอร์ การต่อประสานระหว่างซอฟต์แวร์แบบจำลอง 3 มิติกับโมชันแคปเจอร์ และฝึกปฏิบัติการจับภาพเคลื่อนไหว | 3(2-2-5) |
| วท 6004111 | องค์ประกอบศิลป์เพื่องานมัลติมีเดีย | Composition Art for Multimedia | หลักการและทฤษฎีเกี่ยวข้องกับองค์ประกอบศิลป์ หลักการประมวลความคิดในเชิงสร้างสรรค์ด้านทัศนศิลป์ การจัดองค์ประกอบศิลป์ การปฏิบัติงานสร้างสรรค์ผลงานศิลปะและการออกแบบเพื่องานมัลติมีเดีย | 3(2-2-5) |
| วท 6004112 | ความคิดสร้างสรรค์เพื่อการผลิตงานมัลติมีเดีย | Creative Thinking for Multimedia Production | แนวคิดและทฤษฎีเกี่ยวกับความคิดเชิงสร้างสรรค์ องค์ประกอบและรูปแบบของความคิดเชิงสร้างสรรค์ กระบวนการคิดเชิงสร้างสรรค์ การแสวงหาข้อมูลและความรู้ เทคนิคการคิดเชิงสร้างสรรค์ แนวทางการพัฒนาทักษะการคิดเชิงสร้างสรรค์ การประยุกต์ใช้ในงานมัลติมีเดีย | 3(2-2-5) |
| วท 6004113 | การออกแบบกราฟิก | Graphic Design | การออกแบบงานกราฟิกเพื่อนำไปใช้ประโยชน์ในด้านการสื่อสารและการโฆษณา ประชาสัมพันธ์ทั้งในรูปแบบสื่อสิ่งพิมพ์ สื่อดิจิทัล และอินโฟกราฟิก | 3(2-2-5) |
| วท 6004114 | การผลิตดิจิทัลคอนเทนต์ | Digital Content Production | การรวบรวมเนื้อหาจากการสืบค้น การสัมภาษณ์ ย่อความ การจับใจความ การขยายความ การพัฒนาแนวคิดอย่างเป็นลำดับขั้นตอนมาสู่การวางเค้าโครงเรื่อง การเขียนบท และการนำมาใช้กับอินโฟกราฟิก สไลด์ ภาพยนตร์ แอนิเมชัน สื่อประชาสัมพันธ์ และสื่อสังคมออนไลน์ และฝึกปฏิบัติสร้างเขียนสำหรับการสื่อสารในงานมัลติมีเดีย | 3(3-0-6) |
