| วท 6004111 | องค์ประกอบศิลป์เพื่องานมัลติมีเดีย | Composition Art for Multimedia | ทฤษฏีที่เกี่ยวข้องกับองค์ประกอบศิลป์ ปฏิบัติการจัดองค์ประกอบศิลป์ หลักการประมวลความคิดในเชิงสร้างสรรค์ด้านทัศนศิลป์ การปฏิบัติงานสร้างสรรค์และออกแบบงานมัลติมีเดีย | 3(3-0-6) |
| วท 6004112 | ความคิดสร้างสรรค์เพื่อการผลิตงานมัลติมีเดีย | Creative Thinking for Multimedia Production | แนวคิดและทฤษฎีเกี่ยวกับความคิดเชิงสร้างสรรค์องค์ประกอบและรูปแบบของ ความคิดเชิงสร้างสรรค์กระบวนการคิดเชิงสร้างสรรค์การแสวงหาข้อมูลและความรู้เทคนิคการ คิดเชิงสร้างสรรค์แนวทางการพัฒนาทักษะการคิดเชิงสร้างสรรค์การประยุกต์ใช้ในงานมัลติมีเดีย | 3(2-2-5) |
| วท 6004113 | การออกแบบกราฟิก | Graphic Design | การออกแบบงานกราฟิกเพื่อนำไปใช้ประโยชน์ในด้านการสื่อสารและการโฆษณา ประชาสัมพันธ์ทั้งในรูปแบบสื่อสิ่งพิมพ์ สื่อดิจิทัล และอินโฟกราฟิก | 3(2-2-5) |
| วท 6004114 | การผลิตดิจิทัลคอนเทนต์ | Digital Content Production | การรวบรวมเนื้อหาจากการสืบค้น การสัมภาษณ์ ย่อความ การจับใจความ การขยายความ การพัฒนาแนวคิดอย่างเป็นลำดับขั้นตอนมาสู่การวางเค้าโครงเรื่อง การเขียนบทและการนำมาใช้กับอินโฟกราฟิก สไลด์ภาพยนตร์ แอนิเมชัน สื่อประชาสัมพันธ์และสื่อสังคมออนไลน์และฝึกปฏิบัติสร้างเขียนสำหรับการสื่อสารในงานมัลติมีเดีย | 3(2-2-5) |
| วท 6001414 | เทคโนโลยีผสมความจริงเสมือน | Mixed Reality | ทฤษฎีพื้นฐานหลักการทำงานของเทคโนโลยีผสานความจริงเสมือน (AR) และเทคโนโลยีความจริงเสมือน (VR) การพัฒนาออกแบบปฏิสัมพันธ์และประสบการณ์ผู้ใช้ เรียนรู้การใช้งานซอฟต์แวร์และฮาร์ดแวร์เพื่อการสร้างผลงานสื่อความเป็นจริงเสริมและความเป็นจริงผสม การนำเทคโนโลยีไปประยุกต์ใช้กับงานเฉพาะด้าน เทคโนโลยีสมัยใหม่ที่เกี่ยวข้อง และกรณีศึกษา | 3(2-2-5) |
| วท 6004108 | การวาดเส้นพื้นฐานสำหรับงานมัลติมีเดีย | Introduction to Drawing for Multimedia | แนวคิด หลักการวิธีการวาดเส้น การวิเคราะห์โครงสร้างรูปทรงของวัตถุ แสงเงา ระยะใกล้ไกล รวมถึงน้ำหนัก การพัฒนาไปสู่รูปร่างที่มีความสลับซับซ้อนมากขึ้น กายวิภาคของคนสัตว์ ทิวทัศน์ อาคาร และการประยุกต์ใช้ทฤษฎีสู่การปฏิบัติการวาดเส้นสำหรับงานมัลติมีเดีย | 3(2-2-5) |
| วท 6004109 | การเขียนโปรแกรมพื้นฐานสำหรับมัลติมีเดีย | Basic Programming for Multimedia | โครงสร้างและหลักการเขียนโปรแกรม การประยุกต์ใช้ในการเขียนโปรแกรมมัลติมีเดีย โดยผสมด้วยภาพนิ่ง ภาพเคลื่อนไหว วีดีโอ เสียง และตัวอักษรในการสร้างสื่อประสมเชิงโต้ตอบ และฝึกปฏิบัติการเขียนโปรแกรมมัลติมีเดีย | 3(2-2-5) |
| วท 6004116 | การผลิตแอนิเมชัน 2 มิติ | 2D Animation Production | หลักการออกแบบและสร้างภาพเคลื่อนไหว 2 มิติ เทคนิคการสร้างภาพเคลื่อนไหวแบบต่างๆ การทวีน เฟรมบายเฟรม การเปลี่ยนรูปร่าง การหมุน การเปลี่ยนสีของวัตถุ การสร้างฉาก การเคลื่อนไหวของวัตถุและสิ่งมีชีวิตการนำเทคโนโลยีไปประยุกต์ใช้กับงานด้านต่างๆ ในปัจจุบันเปรียบเทียบคุณลักษณะและข้อจำกัดของอุปกรณ์แต่ละชนิด ฮาร์ดแวร์และซอฟต์แวร์ที่จำเป็นในการพัฒนาสื่อความจริงเสริม และสื่อความจริงเสมือนและการเรียนรู้การใช้งานซอฟต์แวร์เพื่อการสร้างสรรค์ผลงานความจริงเสริมและความจริงเสมือน | 3(2-2-5) |
| วท 6004119 | การถ่ายภาพดิจิทัล | Digital Photography | หลักการการถ่ายภาพ การใช้กล้องดิจิตอลและเครื่องมือที่เกี่ยวข้อง การจัดองค์ประกอบภาพ มุมกล้อง ขนาดภาพ ธรรมชาติของแสง หลักการถ่ายภาพประเภทต่าง ๆ การนำเสนอแนวคิดในงานภาพถ่าย เทคโนโลยีการถ่ายภาพสมัยใหม่ กระบวนการผลิตภาพถ่ายดิจิทัล | 3(2-2-5) |
| วท 6004211 | การผลิตภาพยนตร์ | Film Production | ศึกษาหลักการภาพยนตร์ ประวัติภาพยนตร์ ฝึกปฏิบัติการผลิตภาพวิดีทัศน์ และงานแอนิเมชัน การใส่ตัวอักษร การปรับการเคลื่อนไหว การปรับแต่ง ใส่เทคนิคพิเศษเพื่อสร้างความสมบูรณ์ ขนาดภาพ มุมกล้อง และการใส่ลักษณะพิเศษให้แก่งาน การเผยแพร่งานในรูปแบบต่างๆ เพื่อนำไปใช้กับงานวิดีทัศน์ดิจิทัลและแอนิเมชัน | 3(2-2-5) |
| วท 6004214 | ปัญญาประดิษฐ์สำหรับงานมัลติมีเดีย | Artificial Intelligence for Multimedia | หลักการและทฤษฎีพื้นฐานของปัญญาประดิษฐ์ การเรียนรู้ของเครื่องจักร ปัญญาประดิษฐ์เชิงสร้างสรรค์ การประยุกต์ใช้ปัญญาประดิษฐ์สำหรับงานมัลติมีเดีย ข้อดีและข้อเสียของเทคโนโลยีปัญญาประดิษฐ์ | 3(2-2-5) |
| วท 6004215 | การสร้างโมชันอินโฟกราฟิก | Creation of Motion Infographics | การออกแบบโมชันอินโฟกราฟิก โดยการนำข้อมูล หรือการเล่าเรื่อง มาใช้ร่วมกับหลักการ เพื่อนำมาเสนอให้อยู่ในรูปแบบต่าง ๆ นำเสนอด้วยภาพกราฟิก และภาพเคลื่อนไหวอย่างสร้างสรรค์ และสามารถเล่าเรื่องได้ด้วยตัวเอง โดยการนำเสนอนั้นต้องผ่านขั้นตอน การลำดับเหตุการณ์ และการตรวจสอบข้อมูลและการทดลองใช้ก่อนนำไปเผยแพร่สู่ระบบออนไลน์ | 3(2-2-5) |
| วท 6004216 | นวัตกรรมดิจิทัลเพื่อชุมชนท้องถิ่น | Digital Innovation for Community Enterprise | หลักการตามปรัชญาเพื่อชุมชนท้องถิ่น การวางแผนทำธุรกิจชุมชน วิเคราะห์ ประยุกต์ใช้มัลติมีเดีย และสื่อสร้างสรรค์ในนำเสนอข้อมูลชุมชนท้องถิ่น เพื่อให้เกิดประโยชน์กับตนเองครอบครัวและชุมชน มีความรู้ ความเข้าใจและเจตคติที่ดีเกี่ยวกับปรัชญาเศรษฐกิจพอเพียงและสามารถประยุกต์ใช้ในการดำเนินชีวิตได้อย่างเหมาะสม | 3(2-2-5) |
| วท 6004219 | พื้นฐานการออกแบบส่วนต่อประสาน | Fundamentals of Interface Design | ศึกษาพื้นฐานกระบวนการ การออกแบบส่วนต่อประสาน โดยเน้นการเรียนรู้แบบลงมือทำในรูปแบบโครงงานโดยใช้ปัญหาเป็นฐาน สามารถจำแนกรูปแบบการออกแบบสมัยใหม่ที่เน้นการตอบสนองต่อความต้องการผู้ใช้งานเป็นศูนย์กลาง ออกแบบกราฟิกบนอุปกรณ์เคลื่อนที่ หน้าจอคอมพิวเตอร์ คอมพิวเตอร์พกพา สมาร์ทโฟน แอปพลิเคชัน โดยอาศัยพื้นฐานการออกแบบกราฟิกและตัวอักษร ใช้เครื่องมือการออกแบบที่ตอบโจทย์ภาคอุตสาหกรรม | 3(2-2-5) |
| วท 6004220 | การออกแบบกราฟิก 3 มิติ | 3D Graphic Design | การสร้างการเคลื่อนไหวให้กับวัตถุ 3 มิติด้วยซอฟต์แวร์ การนำ 12 หลักการการเคลื่อนไหวมาปฏิบัติ สร้างการเคลื่อนไหวพื้นฐานให้กับวัตถุ เช่น ยานพาหนะ และตัวละคร การสร้างการเคลื่อนไหวเฟรมบายเฟรม การควบคุมกราฟในการเคลื่อนที่ เคลื่อนไหวตามเส้น | 3(2-2-5) |
| วท 6004221 | ไลฟ์บรอดแคสสตรีมมิ่งเทคโนโลยี | Live Broadcast Streaming Technology | ความรู้เบื้องต้นเกี่ยวกับวิวัฒนาการของสื่อยุคบรอดแคสติงสู่ยุคดิจิทัล โครงสร้าง และคุณลักษณะของสื่อด้านบรอดแคสติงและสื่อสตรีมมิง รูปแบบและองค์ประกอบของการนำเสนอเนื้อหาผ่านสื่อบรอดแคสติงและสื่อสตรีมมิง | 3(2-2-5) |
| วท 6004301 | การเขียนบทและนำเสนอด้วยภาพ | Script Writing and Visual Presentation | ศึกษาหลักการโครงสร้างและองค์ประกอบที่สำคัญของการเขียนบท สารคดี โฆษณาและอื่น ๆ ปัญหาของการเขียนบทชนิดต่าง ๆ รวมทั้งวิจารณ์บทภาพยนตร์สั้น ฝึกหัดการเขียนบทแบบต่าง ๆ โดยเน้นถึงการใช้ภาษาอย่างมีหลักเกณฑ์และศึกษาหลักการนำเสนอผลงานด้วยภาพ | 3(2-2-5) |
| วท 6004315 | การออกแบบภาพและเสียงสำหรับงานมัลติมีเดีย | Image and Audio Design for Multimedia | หลักการพื้นฐานภาพ กระบวนการประมวลผลและการปรับปรุงคุณภาพในเชิงดิจิทัล ทฤษฎีสี การใช้สี ทฤษฎีเสียง หลักการออกแบบระบบเสียง การวิเคราะห์เสียง การจำแนกจังหวะความถี่ การจัดวางตำแหน่งของเสียง การตัดต่อและบันทึกเสียง กระบวนการผลิตเสียงสำหรับงานมัลติมีเดีย เทคนิคการจัดแสงสื่ออารมณ์ และการใช้โปรแกรมสำเร็จรูปสำหรับงานมัลติมีเดีย | 3(2-2-5) |
| วท 6004106 | เทคโนโลยีด้านมัลติมีเดีย | Multimedia Technology | ศึกษาความรู้เทคโนโลยีสารสนเทศ ภาพรวมของเทคโนโลยีมัลติมีเดีย ประกอบด้วย ความหมายของเทคโนโลยีมัลติมีเดีย วิวัฒนาการของเทคโนโลยีมัลติมีเดีย ประโยชน์ของเทคโนโลยีมัลติมีเดีย องค์ประกอบของเทคโนโลยีมัลติมีเดีย ตัวอักษร ภาพนิ่ง แอนิเมชัน เสียง วิดีโอ ผลกระทบที่เกิดต่อสังคม การประยุกต์ใช้เทคโนโลยีมัลติมีเดียในงานด้านต่าง ๆ | 3(2-2-5) |
| วท 6004107 | การผลิตโมเดลริกกิ้ง 3 มิติ | 3D Rigging Model | หลักการในการสร้างและควบคุมกระดูกเสมือนสำหรับงานแอนิเมชัน การควบคุมกระดูกเสมือนโดยใช้โปรแกรม การจัดการตัวควบคุมกระดูก การสร้างกระดูก จลนศาสตร์แบบไปข้างหน้าและจลนศาสตร์แบบผกผัน การสร้างกระดูกมนุษย์ สัตว์ และวัตถุที่สามารถขยับได้ และฝึกปฏิบัติควบคุมกระดูกสำหรับงานแอนิเมชัน | 3(2-2-5) |
| วท 6004110 | การพัฒนาโมชันแคปเจอร์สำหรับงานมัลติมีเดีย | Development of Motion Capture for Multimedia | ศึกษาอุปกรณ์โมชันแคปเจอร์ การประยุกต์การใช้งานโมชันแคปเจอร์ กระดูกโมชันแคปเจอร์ โมชันแคปเจอร์แบบมาร์กเกอร์และมาร์กเกอร์เลส ประสิทธิภาพของโมชันแคปเจอร์ การต่อประสานระหว่างซอฟต์แวร์แบบจำลอง 3 มิติกับโมชันแคปเจอร์ และฝึกปฏิบัติการจับภาพเคลื่อนไหว | 3(2-2-5) |
| วท 6004115 | การตัดต่อและเทคนิคพิเศษในการผลิตภาพยนตร์ | Film Editing and Advanced Visual Effect Production | ทฤษฎีและหลักการตัดต่อประเภทต่างๆ การนำเข้าภาพ เสียงและวิดีโอ การตัดต่อแก้ไขไฟล์วิดีโอและเสียง การแก้ไขและเพิ่มเทคนิคสีสันให้กับวิดีโอ การซ้อนวิดีโอ การจัดทำข้อความประกอบในงานตัดต่อวิดีโอ การใส่เสียงประกอบ การใช้เทคนิคพิเศษในงานภาพยนตร์ ตลอดจนการนำไฟล์วิดีโอไปใช้งานในรูปแบบต่าง ๆ การใช้งานเครื่องมือและซอฟต์แวร์สำหรับการสร้างเอฟเฟคต์พิเศษสำหรับวิดีโอ เทคนิคการใช้งานบลูสกรีน การฝึกปฏิบัติการตัดต่อ และกระบวนการนำเสนอผลงาน | 3(2-2-5) |
| วท 6004117 | การออกแบบเว็บไซต์ | Web Design | แนวทางและขั้นตอนการพัฒนาเว็บไซต์ หลักการออกแบบเว็บไซต์ โดยใช้ภาษาหรือซอฟต์แวร์ในการพัฒนาเว็บไซต์ การบริหารเว็บไซต์ การสำรวจความต้องการของการพัฒนาเว็บไซต์ การใช้เทคนิคในการพัฒนาเว็บไซต์ การนำเสนอองค์ประกอบของเว็บไซต์ การออกแบบการนำทางของเว็บไซต์ การใช้เครื่องมือของซอฟต์แวร์ด้านต่าง ๆ หลักการอัพโหลด และสามารถนำไปประยุกต์ใช้ได้ | 3(2-2-5) |
| วท 6004118 | การออกแบบเกม | Game Design | ศึกษาหลักการการออกแบบองค์ประกอบเกมพื้นฐาน กฎการเล่น การสร้างเกมต้นแบบด้วยกระดาษตลอดจนกระบวนการทดสอบ ปรับปรุง การใช้โปรแกรมสำเร็จรูปในการออกแบบเกม | 3(2-2-5) |
| วท 6004206 | การวาดภาพดิจิทัล | Drawing Digital Image | ศึกษาหลักการวาดเส้นเพื่อประยุกต์ในวิชาชีพด้านดิจิทัลอาร์ต การเขียนภาพของมนุษย์และสัตว์ที่เน้นความสมจริง รวมถึงหลักการทัศนียภาพ โดยฝึกปฏิบัติการใช้เครื่องมือแบบดั้งเดิมและดิจิทัลเพื่อถ่ายทอดออกมา เป็นผลงานในหลายรูปแบบ ซึ่งให้ความรู้สึกที่แตกต่างกัน อันเป็นการพัฒนาทักษะการวาดเส้นที่นำไปสู่การสร้างสรรค์งานลักษณะเฉพาะในวิชาชีพ | 3(2-2-5) |
| วท 6004207 | การออกแบบสต็อปโมชัน | Stop Motion Design | ฝึกปฏิบัติการสร้างภาพเคลื่อนไหวแบบสต็อปโมชัน รูปแบบการสร้างด้วยเทคนิคที่แตกต่างกัน เคลย์เมชัน ออปเจ็คแอนิเมชัน คัทเอาท์แอนิเมชัน พิซิเลชัน | 3(2-2-5) |
| วท 6004406 | อุตสาหกรรมด้านการผลิตสื่อมัลติมีเดีย | Multimedia Production Industry | แนวโน้มและสถานภาพของโลกยุคโลกาภิวัฒน์ของอุตสาหกรรมแอนิเมชันและมัลติมีเดีย ศึกษาวิเคราะห์ความต้องการของตลาด ห่วงโซ่อุตสาหกรรม ขั้นตอนการผลิต เรียนรู้การเป็น ผู้ประกอบการสินค้า และบริการด้านแอนิเมชัน เรียนรู้อุตสาหกรรมแอนิเมชันในงานด้านต่าง ๆ ทั้งในและต่างประเทศ | 3(2-2-5) |
| วท 6004209 | การผลิตงานมัลติมีเดียเพื่อการโฆษณา | Multimedia Production for Advertising | หลักการการโฆษณาและประชาสัมพันธ์ ขั้นตอนการผลิตสื่อเพื่อการโฆษณา ผลทางจิตวิทยาที่มีต่อผู้รับสาร ความสัมพันธ์ระหว่างความคิดสร้างสรรค์และเนื้อหา การเขียนบทโฆษณา การประเมินคุณภาพของสื่อ และฝึกปฏิบัติผลิตสื่อโดยใช้แอปพลิเคชัน | 3(2-2-5) |
| วท 6004210 | การผลิตงานมัลติมีเดียสำหรับสื่อการเรียนรู้ | Multimedia for Learning Media | ศึกษาหลักการออกแบบและพัฒนาสื่อในรูปแบบของบทเรียน ออกแบบบทเรียนที่สามารถตอบสนองผู้เรียน และสนับสนุนการเรียนรู้ด้วยตนเอง และตอบสนองการเรียนรู้ของผู้เรียนในวัยต่าง ๆ โดยอาศัยซอฟต์แวร์ที่เกี่ยวข้อง | 3(2-2-5) |
| วท 6004213 | การผลิตแอนิเมชัน 3 มิติ | 3D Animation Production | หลักการสร้างภาพเคลื่อนไหว 3 มิติ องค์ประกอบของการกระทำ ลักษณะการเคลื่อนไหวของร่างกาย การจัดองค์ประกอบของงานแอนิเมชัน หลักการในการสร้างและควบคุมกระดูกพื้นฐาน ฝึกปฏิบัติใช้งานซอฟต์แวร์สำหรับภาพเคลื่อนไหว 3 มิติ | 3(2-2-5) |
| วท 6004217 | การออกแบบเอกลักษณ์และแบรนด์ | Identity and Branding Design | หลักการและฝึกการออกแบบเอกลักษณ์องค์กร การออกแบบตราสินค้า การออกแบบสื่อเพื่อสร้างภาพลักษณ์ที่ดี และน่าจดจำให้แก่องค์กร การนำเอกลักษณ์องค์กรไปประยุกต์ใช้กับสื่อต่างๆ | 3(2-2-5) |
| วท 6004222 | การออกแบบตัวละคร | Character Design | หลักและวิธีการ การออกแบบและสร้างสรรค์บุคลิกตัวการ์ตูนหรือตัวละครในรูปแบบต่างๆ ให้มีบุคลิกลักษณะ นิสัย จุดเด่น-จุดด้อยที่เหมาะสมกับสถานการณ์ เรื่องราวที่ถูกกำหนดขึ้นด้วยแนวความคิด สำหรับใช้เป็นสื่อต่าง ๆ ทางด้านนิเทศศิลป์ ความเหมาะสมกับการนำไปใช้ในธุรกิจต่าง ๆ ที่เกี่ยวข้อง | 3(2-2-5) |
| วท 6004316 | การพัฒนาระบบเมตาเวิร์ส | Metaverse Development | องค์ประกอบ โครงสร้าง สถาปัตยกรรม เนื้อหาการสร้างโลกคู่ขนาน โลกคู่ขนานแบบความจริงเสริม โลกคู่ขนานแบบโลกสมมติ แพลตฟอร์มเมตาเวิร์ส เมตาเวิร์ส ข้ามแพลตฟอร์ม อุปกรณ์ที่ใช้ในงาน การสร้างรายได้จากเมต้าเวิร์ส การวิเคราะห์โลกคู่ขนาน การประยุกต์ใช้กับงานด้านต่าง ๆ การผลิตเมตาเวิร์ส | 3(2-2-5) |
